feature,importance
sttl,3958.825927734375
ct_state_ttl,464.8132019042969
is_sm_ips_ports,130.29837036132812
swin,100.45181274414062
dttl,94.47196960449219
state_CON,76.68019104003906
ct_dst_sport_ltm,71.62852478027344
proto_mobile,71.51960754394531
proto_unas,68.82157897949219
proto_sun-nd,68.50944519042969
service_dns,62.899169921875
proto_arp,62.50190734863281
ct_srv_dst,60.34990310668945
proto_swipe,52.16522216796875
sbytes,44.3055419921875
sloss,36.07156753540039
proto_udp,30.793750762939453
trans_depth,27.04843521118164
smean,26.87890625
ct_dst_src_ltm,26.758081436157227
service_http,24.910398483276367
dloss,19.016183853149414
dmean,18.24879264831543
dbytes,17.56810760498047
proto_ospf,17.073638916015625
rate,16.682580947875977
dpkts,15.082789421081543
dload,14.734580993652344
ct_srv_src,14.664380073547363
spkts,13.837874412536621
service_-,13.647103309631348
proto_sctp,12.723044395446777
proto_icmp,12.52368450164795
ct_ftp_cmd,11.796152114868164
state_REQ,10.240470886230469
state_ECO,10.17919921875
proto_tcp,10.05976676940918
service_ftp,10.04495906829834
service_ssh,9.558601379394531
service_ftp-data,9.203792572021484
proto_ipv6,8.898937225341797
ct_flw_http_mthd,8.695206642150879
proto_igmp,8.512186050415039
synack,8.433831214904785
sinpkt,8.09792709350586
state_INT,7.751557350158691
proto_rvd,7.583268642425537
sload,7.323063373565674
ct_src_dport_ltm,6.997488498687744
tcprtt,6.952425003051758
is_ftp_login,6.771842956542969
service_dhcp,6.45703125
ct_dst_ltm,6.150341510772705
response_body_len,6.097137451171875
dur,6.0304412841796875
service_smtp,5.866332054138184
dinpkt,4.960385322570801
ct_src_ltm,4.852115154266357
djit,4.7779130935668945
proto_sep,4.493780136108398
sjit,4.163688659667969
ackdat,3.9300076961517334
stcpb,3.5802578926086426
dtcpb,3.4819047451019287
state_RST,3.1008658409118652
service_pop3,1.7013157606124878
service_snmp,0.3970947265625
